[    5784ms] [LOG] FPS: 41.72876304023844 | Frame avg: 23.96428571428572ms | Frame max: 34.4        ms | Game avg: 0.023809523809523815ms | Render avg: 0.021428571428571432ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   10755ms] [LOG] FPS: 41.1845459894097 | Frame avg: 24.280952380952375ms | Frame max: 33.9        ms | Game avg: 0.002380952380952381ms | Render avg: 0.009523809523809525ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[   15775ms] [LOG] FPS: 42.540561931143635 | Frame avg: 23.506976744186055ms | Frame max: 33.4        ms | Game avg: 0.002325581395348837ms | Render avg: 0.011627906976744188ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   20766ms] [LOG] FPS: 43.4139121854958 | Frame avg: 23.03409090909091ms | Frame max: 34.60000000000001ms | Game avg: 0.004545454545454545ms | Render avg: 0.011363636363636364ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   25763ms] [LOG] FPS: 40.77167859984089 | Frame avg: 24.526829268292683ms | Frame max: 34.9        ms | Game avg: 0.004878048780487806ms | Render avg: 0.012195121951219513ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   30750ms] [LOG] FPS: 41.77026355047241 | Frame avg: 23.940476190476186ms | Frame max: 42.9        ms | Game avg: 0.0         ms | Render avg: 0.002380952380952381ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[   35756ms] [LOG] FPS: 42.17753800882785 | Frame avg: 23.709302325581397ms | Frame max: 34.10000000000001ms | Game avg: 0.004651162790697674ms | Render avg: 0.02325581395348838ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   40767ms] [LOG] FPS: 40.326546670600955 | Frame avg: 24.79756097560976ms | Frame max: 31.400000000000006ms | Game avg: 0.0         ms | Render avg: 0.0         ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[   45777ms] [LOG] FPS: 40.98360655737706 | Frame avg: 24.399999999999995ms | Frame max: 34.10000000000001ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[   50768ms] [LOG] FPS: 41.728763040238434 | Frame avg: 23.964285714285722ms | Frame max: 32.0        ms | Game avg: 0.0         ms | Render avg: 0.0071428571428571435ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[   55777ms] [LOG] FPS: 41.49377593360997 | Frame avg: 24.099999999999994ms | Frame max: 33.4        ms | Game avg: 0.0         ms | Render avg: 0.014285714285714287ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[   60783ms] [LOG] FPS: 42.13207916911621 | Frame avg: 23.73488372093023ms | Frame max: 34.4        ms | Game avg: 0.0069767441860465115ms | Render avg: 0.0186046511627907ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[   65758ms] [LOG] FPS: 37.17108480876456 | Frame avg: 26.90263157894736ms | Frame max: 29.200000000000003ms | Game avg: 0.002631578947368421ms | Render avg: 0.01578947368421053ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[   70749ms] [LOG] FPS: 41.60475482912334 | Frame avg: 24.03571428571428ms | Frame max: 31.5        ms | Game avg: 0.002380952380952381ms | Render avg: 0.0071428571428571435ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[   75767ms] [LOG] FPS: 40.342418577191765 | Frame avg: 24.787804878048785ms | Frame max: 34.10000000000001ms | Game avg: 0.004878048780487806ms | Render avg: 0.007317073170731709ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[   80768ms] [LOG] FPS: 40.889598085170036 | Frame avg: 24.456097560975614ms | Frame max: 33.1        ms | Game avg: 0.0         ms | Render avg: 0.007317073170731709ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[   85758ms] [LOG] FPS: 40.20396156109041 | Frame avg: 24.87317073170732ms | Frame max: 36.900000000000006ms | Game avg: 0.002439024390243903ms | Render avg: 0.014634146341463417ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[   90751ms] [LOG] FPS: 39.714058776806986 | Frame avg: 25.18       ms | Frame max: 39.900000000000006ms | Game avg: 0.0025      ms | Render avg: 0.005       ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[   95774ms] [LOG] FPS: 39.76933784052495 | Frame avg: 25.145000000000007ms | Frame max: 34.60000000000001ms | Game avg: 0.0         ms | Render avg: 0.01        ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  100774ms] [LOG] FPS: 40.271093212847454 | Frame avg: 24.831707317073175ms | Frame max: 37.400000000000006ms | Game avg: 0.0         ms | Render avg: 0.0         ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  105773ms] [LOG] FPS: 44.93708807669264 | Frame avg: 22.25333333333333ms | Frame max: 33.5        ms | Game avg: 0.011111111111111112ms | Render avg: 0.004444444444444445ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
